open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1772323200000,66937.00,67089.60,66763.30,66883.40,1694.569,1772324099999,113380081.57900,54119,665.851,44564904.70960,0
1772324100000,66883.50,66998.00,66730.00,66746.40,988.386,1772324999999,66067733.87240,32661,406.123,27147424.87170,0
1772325000000,66746.50,66800.00,66578.30,66606.60,1702.005,1772325899999,113505772.72350,45841,735.957,49079341.68990,0
1772325900000,66606.60,66849.10,66606.50,66755.60,1068.895,1772326799999,71325077.98090,38601,511.002,34100641.53660,0
1772326800000,66755.50,66761.60,65812.00,66266.10,5822.412,1772327699999,386243681.21730,98835,1799.990,119483216.37730,0
1772327700000,66266.20,66425.60,66017.10,66309.30,2703.459,1772328599999,179000795.34600,69923,1408.781,93282848.33230,0
1772328600000,66309.30,66742.60,66250.10,66589.60,2292.762,1772329499999,152625893.69590,70846,1451.585,96620978.29880,0
1772329500000,66589.70,67686.70,66578.00,67311.60,11413.330,1772330399999,767812218.82990,212093,6672.901,448871445.28760,0
1772330400000,67311.70,68189.00,67305.20,67864.20,11665.711,1772331299999,791628477.75590,252780,6154.571,417529851.89620,0
1772331300000,67863.70,68072.00,67601.10,67734.50,3167.684,1772332199999,214590409.04000,113076,1606.468,108840364.89210,0
1772332200000,67734.50,68085.00,67626.20,68037.40,2288.914,1772333099999,155340104.35240,82769,1382.206,93841259.78780,0
1772333100000,68037.40,68139.00,67573.00,67588.30,4184.259,1772333999999,283792595.93860,90141,1702.787,115509262.02110,0
1772334000000,67588.30,67793.40,67578.20,67694.90,1811.791,1772334899999,122604231.96900,47250,1121.544,75901817.40590,0
1772334900000,67694.80,67732.20,67361.00,67534.60,2332.480,1772335799999,157452825.07840,65236,980.253,66174565.76270,0
1772335800000,67534.60,67625.30,67400.00,67613.80,1424.394,1772336699999,96150568.75460,49114,750.055,50636635.87730,0
1772336700000,67613.70,67675.10,67351.00,67474.70,1998.813,1772337599999,134985540.21830,56810,823.487,55631057.69020,0
1772337600000,67474.80,67582.20,67232.90,67257.20,1946.211,1772338499999,131159997.73500,49853,677.913,45695011.64540,0
1772338500000,67257.10,67318.20,67017.40,67293.20,2824.548,1772339399999,189720476.42960,72059,1430.972,96119062.94160,0
1772339400000,67293.30,67437.20,67226.80,67362.10,1710.222,1772340299999,115142024.39120,43819,920.063,61949388.32480,0
1772340300000,67362.10,67381.80,67254.10,67313.00,634.398,1772341199999,42705180.19880,25831,296.667,19970917.10670,0
1772341200000,67313.10,67422.00,67163.50,67294.00,1447.891,1772342099999,97446793.96340,39462,651.252,43831771.04510,0
1772342100000,67293.90,67547.30,67293.90,67422.90,1070.293,1772342999999,72186771.97900,31259,697.330,47028809.64270,0
1772343000000,67423.00,67526.50,67340.00,67350.00,841.436,1772343899999,56756574.61050,26055,431.138,29087355.83390,0
1772343900000,67349.90,67408.10,67247.90,67264.20,1265.354,1772344799999,85178620.43510,27457,534.017,35948816.96660,0
1772344800000,67264.20,67320.00,66888.00,67049.90,3756.707,1772345699999,251985518.78460,75695,1273.837,85443209.09070,0
1772345700000,67049.90,67138.10,66921.90,67014.00,1568.656,1772346599999,105146567.20080,48379,621.845,41686508.35200,0
1772346600000,67014.00,67056.50,66757.40,66898.60,2065.622,1772347499999,138136303.84920,57184,854.975,57178887.36540,0
1772347500000,66898.60,66938.10,66757.20,66890.10,900.906,1772348399999,60225508.78120,29089,470.984,31487388.56160,0
1772348400000,66890.00,67030.00,66757.90,66986.10,1194.273,1772349299999,79885431.34930,37757,633.851,42406911.69510,0
1772349300000,66986.10,67049.60,66919.50,66956.30,640.831,1772350199999,42919457.26980,26521,346.251,23190552.51510,0
1772350200000,66956.30,67201.20,66877.50,67066.70,1686.240,1772351099999,113127220.82230,53391,995.658,66804938.86790,0
1772351100000,67066.70,67151.30,67057.00,67113.90,908.021,1772351999999,60922579.83720,27513,595.143,39930430.85000,0
1772352000000,67114.00,67260.40,66875.10,67239.90,1579.603,1772352899999,105967230.46570,51582,857.014,57507861.80230,0
1772352900000,67240.00,67275.50,67090.60,67195.70,876.634,1772353799999,58910899.91680,30227,485.917,32653905.95040,0
1772353800000,67195.70,67226.50,67100.30,67100.30,660.680,1772354699999,44368711.35270,25348,274.411,18427978.07600,0
1772354700000,67100.30,67111.50,66429.80,66535.00,4753.563,1772355599999,316798061.10330,124323,2028.349,135152436.55000,0
1772355600000,66535.00,66667.60,66324.50,66562.80,2488.297,1772356499999,165505837.22080,77257,1126.753,74967801.00580,0
1772356500000,66562.90,66745.40,66516.00,66587.30,1635.035,1772357399999,108968017.92040,51873,822.071,54788519.78280,0
1772357400000,66587.30,66625.00,66225.20,66268.10,2324.945,1772358299999,154315524.57330,73338,1031.704,68475950.54400,0
1772358300000,66268.10,66418.00,66205.80,66380.10,1492.237,1772359199999,98965985.86390,50791,844.434,56004839.74400,0
1772359200000,66380.10,66510.40,66160.40,66490.90,1952.242,1772360099999,129560411.68780,65168,925.912,61451966.52230,0
