config,scenario,symbol,dir,entry_time,exit_time,entry_time_iso,exit_time_iso,holding_hours,gross_r,net_r,gross_account_pct,net_account_pct,cost_account_pct,fee_account_pct,slippage_account_pct,funding_account_pct,risk_pct_price,notional_to_equity,leverage_hint,outcome,score,regime
v3_core4_quality,gross_no_cost,BTCUSDT,long,1749554100,1749562200,2025-06-10T11:15:00+00:00,2025-06-10T13:30:00+00:00,2.25,-1.1216758572605678,-1.1216758572605678,-0.39258655004119875,-0.39258655004119875,0.0,0.0,0.0,0.0,0.657484580763468,0.5323318755149842,20.0,stop,7.7,trend_up
v3_core4_quality,maker_low_cost,BTCUSDT,long,1749554100,1749562200,2025-06-10T11:15:00+00:00,2025-06-10T13:30:00+00:00,2.25,-1.1216758572605678,-1.245490547949544,-0.39258655004119875,-0.4359216917823404,0.043335141741141676,0.021293275020599366,0.021293275020599366,0.0007485916999429464,0.657484580763468,0.5323318755149842,20.0,stop,7.7,trend_up
v3_core4_quality,base_taker_cost,BTCUSDT,long,1749554100,1749562200,2025-06-10T11:15:00+00:00,2025-06-10T13:30:00+00:00,2.25,-1.1216758572605678,-1.36930523863852,-0.39258655004119875,-0.4792568335234821,0.08667028348228335,0.053233187551498425,0.03193991253089905,0.0014971833998858929,0.657484580763468,0.5323318755149842,20.0,stop,7.7,trend_up
v3_core4_quality,high_slippage,BTCUSDT,long,1749554100,1749562200,2025-06-10T11:15:00+00:00,2025-06-10T13:30:00+00:00,2.25,-1.1216758572605678,-1.460562131583946,-0.39258655004119875,-0.5111967460543811,0.11861019601318239,0.053233187551498425,0.0638798250617981,0.0014971833998858929,0.657484580763468,0.5323318755149842,20.0,stop,7.7,trend_up
v3_core4_quality,fee_1p5x,BTCUSDT,long,1749554100,1749562200,2025-06-10T11:15:00+00:00,2025-06-10T13:30:00+00:00,2.25,-1.1216758572605678,-1.445352649426375,-0.39258655004119875,-0.5058734272992313,0.11328687725803256,0.07984978132724763,0.03193991253089905,0.0014971833998858929,0.657484580763468,0.5323318755149842,20.0,stop,7.7,trend_up
v3_core4_quality,funding_3x,BTCUSDT,long,1749554100,1749562200,2025-06-10T11:15:00+00:00,2025-06-10T13:30:00+00:00,2.25,-1.1216758572605678,-1.3778605723521538,-0.39258655004119875,-0.48225120032325386,0.08966465028205514,0.053233187551498425,0.03193991253089905,0.00449155019965768,0.657484580763468,0.5323318755149842,20.0,stop,7.7,trend_up
v3_core4_quality,combined_stress,BTCUSDT,long,1749554100,1749562200,2025-06-10T11:15:00+00:00,2025-06-10T13:30:00+00:00,2.25,-1.1216758572605678,-1.5451648760854346,-0.39258655004119875,-0.5408077066299022,0.1482211565887034,0.07984978132724763,0.0638798250617981,0.00449155019965768,0.657484580763468,0.5323318755149842,20.0,stop,7.7,trend_up
v3_core4_quality,gross_no_cost,ETHUSDT,long,1749625200,1749629700,2025-06-11T07:00:00+00:00,2025-06-11T08:15:00+00:00,1.25,-1.116264644714168,-1.1162646447141678,-0.39069262564995877,-0.39069262564995877,0.0,0.0,0.0,0.0,0.6880853607446776,0.5086578206244846,20.0,stop,7.8500000000000005,trend_up
v3_core4_quality,maker_low_cost,ETHUSDT,long,1749625200,1749629700,2025-06-11T07:00:00+00:00,2025-06-11T08:15:00+00:00,1.25,-1.116264644714168,-1.2336646863493725,-0.39069262564995877,-0.4317826402222804,0.04109001457232165,0.020346312824979385,0.020346312824979385,0.0003973889223628786,0.6880853607446776,0.5086578206244846,20.0,stop,7.8500000000000005,trend_up
v3_core4_quality,base_taker_cost,ETHUSDT,long,1749625200,1749629700,2025-06-11T07:00:00+00:00,2025-06-11T08:15:00+00:00,1.25,-1.116264644714168,-1.351064727984577,-0.39069262564995877,-0.47287265479460205,0.08218002914464329,0.05086578206244846,0.030519469237469073,0.0007947778447257572,0.6880853607446776,0.5086578206244846,20.0,stop,7.8500000000000005,trend_up
