trades,symbols,win_rate_pct,mean_gross_r,median_gross_r,total_account_return_pct,max_drawdown_pct,profit_factor,mean_score,mean_net_notional_return_pct,score_threshold,scenario
153,8,44.44444444444444,0.10028705775714551,-0.24999999999999956,13.987195921679675,-23.666777842046837,1.206567640892345,94.0,0.22981869301022861,0,base_5bps_slip
153,8,44.44444444444444,0.10028705775714551,-0.24999999999999956,13.987195921679675,-23.666777842046837,1.206567640892345,94.0,0.02981869301022885,0,stress_15bps_slip
153,8,44.44444444444444,0.10028705775714551,-0.24999999999999956,13.987195921679675,-23.666777842046837,1.206567640892345,94.0,0.22981869301022861,60,base_5bps_slip
153,8,44.44444444444444,0.10028705775714551,-0.24999999999999956,13.987195921679675,-23.666777842046837,1.206567640892345,94.0,0.02981869301022885,60,stress_15bps_slip
153,8,44.44444444444444,0.10028705775714551,-0.24999999999999956,13.987195921679675,-23.666777842046837,1.206567640892345,94.0,0.22981869301022861,70,base_5bps_slip
153,8,44.44444444444444,0.10028705775714551,-0.24999999999999956,13.987195921679675,-23.666777842046837,1.206567640892345,94.0,0.02981869301022885,70,stress_15bps_slip
153,8,44.44444444444444,0.10028705775714551,-0.24999999999999956,13.987195921679675,-23.666777842046837,1.206567640892345,94.0,0.22981869301022861,80,base_5bps_slip
153,8,44.44444444444444,0.10028705775714551,-0.24999999999999956,13.987195921679675,-23.666777842046837,1.206567640892345,94.0,0.02981869301022885,80,stress_15bps_slip
153,8,44.44444444444444,0.10028705775714551,-0.24999999999999956,13.987195921679675,-23.666777842046837,1.206567640892345,94.0,0.22981869301022861,85,base_5bps_slip
153,8,44.44444444444444,0.10028705775714551,-0.24999999999999956,13.987195921679675,-23.666777842046837,1.206567640892345,94.0,0.02981869301022885,85,stress_15bps_slip
145,8,44.13793103448276,0.07250598254901791,-0.25,9.991019690305336,-23.26843540509226,1.15784422817671,94.3103448275862,0.07909348289407715,90,base_5bps_slip
145,8,44.13793103448276,0.07250598254901791,-0.25,9.991019690305336,-23.26843540509226,1.15784422817671,94.3103448275862,-0.12090651710592294,90,stress_15bps_slip
