entry_time_utc,exit_time_utc,strategy,regime,dir,score,entry,stop,risk_pct,leverage,r,account_pct,outcome,mfe_r,mae_r,notes
2026-03-26T14:30:00,2026-03-26T20:00:00,trend,trend_down,short,7.0,69481.2,70003.41,0.7516,20,1.1336,0.3967,breakeven_or_trailing_stop,2.615,0.116,V2趋势状态：4H空头; 日内VWAP向下且价格在下方; 反抽EMA20/VWAP后跌回; CVD顺势确认; 趋势目标RR>=2
2026-03-27T08:00:00,2026-03-27T10:30:00,trend,trend_down,short,8,68429.5,68960.52,0.776,20,1.7269,0.6044,tp_final,3.219,0.088,V2趋势状态：4H空头; 日内VWAP向下且价格在下方; 反抽EMA20/VWAP后跌回; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2026-04-09T08:15:00,2026-04-09T09:45:00,trend,trend_up,long,7.0,70942.6,70755.48,0.2638,50,1.5267,0.5343,tp_final,3.155,0,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 趋势目标RR>=2
2026-04-10T13:30:00,2026-04-10T15:15:00,trend,trend_up,long,8,72034,71650.4,0.5325,30,1.6798,0.5879,tp_final,3.185,0.037,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2026-04-14T07:45:00,2026-04-14T15:00:00,trend,trend_up,long,8,74513.4,73904.16,0.8176,20,1.1422,0.3998,breakeven_or_trailing_stop,2.455,0.459,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2026-04-15T13:00:00,2026-04-15T15:30:00,trend,trend_up,long,7.0,74275.5,73712.49,0.758,20,-1.1055,-0.3869,stop,0.338,1.306,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 趋势目标RR>=2
2026-04-17T07:00:00,2026-04-17T13:00:00,trend,trend_up,long,9.1,74994.7,74483.69,0.6814,20,1.7126,0.5994,tp_final,3.689,0.19,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; 突破短结构高点; CVD顺势确认; 量能实体合格; 趋势目标RR>=2
2026-04-19T14:15:00,2026-04-19T17:00:00,trend,trend_up,long,7.0,75916.8,75253.13,0.8742,20,-1.0915,-0.382,stop,0.301,1.473,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 趋势目标RR>=2
2026-04-20T11:00:00,2026-04-21T08:45:00,trend,trend_up,long,7.0,75132,74519.48,0.8153,20,1.7319,0.6062,tp_final,3.048,0.804,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 趋势目标RR>=2
2026-04-23T07:00:00,2026-04-23T09:00:00,trend,trend_up,long,7.0,78096.7,77595.03,0.6424,30,-1.1245,-0.3936,stop,0.108,1.388,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 趋势目标RR>=2
2026-04-24T13:30:00,2026-04-24T15:00:00,trend,trend_up,long,7.0,78143.6,77533.17,0.7812,20,-1.1024,-0.3858,stop,0.105,1.02,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; CVD顺势确认; 趋势目标RR>=2
2026-04-29T09:30:00,2026-04-29T12:15:00,trend,trend_up,long,7.9,77216,76789.76,0.552,30,0.3776,0.1322,breakeven_or_trailing_stop,1.542,0.622,V2趋势状态：4H多头; 日内VWAP向上且价格在上方; 回踩EMA20/VWAP后收回; 突破短结构高点; 量能实体合格; 趋势目标RR>=2
