id,symbol,signal_time_utc,timeframe,entry,stop_loss,take_profits,score,decision,data_status,bars_used,entry_time_utc,exit_time_utc,exit_reason,tp_hit_count,weighted_rr_target,realized_r,gross_return_pct_on_notional,net_return_pct_on_notional,max_favorable_excursion_pct,max_adverse_excursion_pct,suggested_account_risk_pct,account_return_pct,source_note
INIT_2026-04-28_2203,INITUSDT,2026-04-28T14:03:00Z,1H,0.091,0.0883,"0.0965,0.1113,0.1333",49.0,reject,binance_futures_api,1344,2026-04-28T14:15:00Z,2026-05-02T11:00:00Z,close_below_stop,1,6.4074,0.5185,1.5385,1.3385,25.4945,-5.3846,0.0,0.0,Scalp INIT; visible stop 0.0883 and TP labels 0.0965/0.1113/0.1333.
AVNT_2026-05-07_0024,AVNTUSDT,2026-05-06T16:24:00Z,4H,0.1554,0.1428,"0.2291,0.3117",59.0,reject,binance_futures_api,710,2026-05-06T16:30:00Z,2026-05-14T01:45:00Z,max_hold_close,0,8.4714,-0.3968,-3.2175,-3.4175,9.0734,-6.6281,0.0,0.0,AVNT 4H long; visible stop 0.1428 and TP labels 0.2291/0.3117.
BIO_2026-05-09_0029,BIOUSDT,2026-05-08T16:29:00Z,2H,0.04792,0.044,"0.05181,0.05694,0.06573",,unscored,binance_futures_api,518,2026-05-08T16:30:00Z,2026-05-13T14:00:00Z,close_below_stop,2,2.3381,0.9523,7.7901,7.5901,28.4432,-9.7245,0.25,0.2381,"BIO 2H long; text stop 0.044, visible TP labels 0.05181/0.05694/0.06573."
XRP_2026-05-11_0928,XRPUSDT,2026-05-11T01:28:00Z,4H,1.4601,1.418,"1.5288,1.619,1.7423,1.8665",96.0,normal_size,binance_futures_api,290,2026-05-11T01:30:00Z,2026-05-13T16:00:00Z,close_below_stop,0,4.7456,-1.0,-2.8834,-3.0834,1.9108,-3.4039,1.0,-1.0,XRP 4H long; visible trendline break/SR flip with TP labels.
