entry_time_utc,exit_time_utc,dir,score,entry,stop,risk_pct,leverage,r,account_pct,outcome,mfe_r,mae_r,notes
2025-07-04T09:15:00,2025-07-04T13:30:00,long,7.5,108987,108428.63,0.5123,30,-1.1562,-0.4047,stop,0.151,1.301,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-07-05T11:00:00,2025-07-05T16:30:00,long,7.5,108074.3,107813.71,0.2411,50,-1.3318,-0.4661,stop,0.461,1.017,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 回收VWAP/POC; 关键目标RR>=2
2025-07-06T10:30:00,2025-07-06T13:45:00,long,7.5,107982.5,107731.51,0.2324,50,1.5058,0.527,tp3,4.369,0.316,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-07-07T07:00:00,2025-07-07T11:15:00,long,10,108828.3,108588.61,0.2202,50,-1.3632,-0.4771,stop,0.888,1.265,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-07-08T14:45:00,2025-07-08T15:30:00,long,7.5,108336.8,108154.02,0.1687,50,-1.4742,-0.516,stop,0.822,1.017,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; 量能与实体合格; 关键目标RR>=2
2025-07-09T08:15:00,2025-07-09T14:30:00,long,7.5,108765.7,108252.41,0.4719,30,0.2305,0.0807,breakeven_or_trailing_stop,1.895,0.656,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 回收VWAP/POC; 关键目标RR>=2
2025-07-10T07:30:00,2025-07-10T10:30:00,long,7.5,111215.9,110873.04,0.3083,50,-1.2595,-0.4408,stop,0.45,1.065,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-07-11T13:45:00,2025-07-11T15:45:00,long,10,117967.1,117202.5,0.6481,20,-1.1234,-0.3932,stop,0.252,1.624,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-07-12T07:30:00,2025-07-12T11:30:00,long,7.5,117678,117429.5,0.2112,50,0.7211,0.2524,breakeven_or_trailing_stop,2.008,0.395,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-07-14T11:30:00,2025-07-14T13:15:00,long,8,121601.8,121312.59,0.2378,50,0.0636,0.0223,breakeven_or_trailing_stop,1.169,0.663,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 关键目标RR>=2
