open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1761955200000,0.186350,0.186470,0.186060,0.186160,17904541,1761956099999,3333747.497100,9069,7809986,1454104.896260,0
1761956100000,0.186150,0.186300,0.185740,0.186100,26863549,1761956999999,4996834.615550,8525,9694312,1803082.192730,0
1761957000000,0.186090,0.186090,0.185300,0.185880,69983999,1761957899999,12985144.516280,11986,29858499,5538627.188990,0
1761957900000,0.185880,0.186250,0.185830,0.186160,22286743,1761958799999,4146924.980460,7984,11538001,2146722.257330,0
1761958800000,0.186160,0.186480,0.186100,0.186180,16611509,1761959699999,3095240.516140,7960,8490325,1582036.859640,0
1761959700000,0.186180,0.186470,0.185870,0.186400,15033075,1761960599999,2799122.699910,6216,5353841,997061.805260,0
1761960600000,0.186410,0.186660,0.186060,0.186140,19222100,1761961499999,3582224.104110,6952,10481215,1953356.950700,0
1761961500000,0.186140,0.186150,0.185610,0.185640,12730084,1761962399999,2365237.909680,6003,4545781,844383.342330,0
1761962400000,0.185630,0.185640,0.185000,0.185250,39405759,1761963299999,7299635.148560,10495,10674863,1977370.103320,0
1761963300000,0.185240,0.185890,0.185240,0.185760,16988355,1761964199999,3155032.225480,7015,8721861,1619405.612500,0
1761964200000,0.185770,0.185850,0.185390,0.185820,10138692,1761965099999,1881777.390510,5451,4622875,858131.536180,0
1761965100000,0.185830,0.186400,0.185810,0.186330,16824201,1761965999999,3131468.624010,6663,9762330,1817029.352740,0
1761966000000,0.186330,0.186960,0.186320,0.186620,31658362,1761966899999,5908201.371000,10955,18090066,3375626.125640,0
1761966900000,0.186620,0.187060,0.186600,0.186730,30798203,1761967799999,5753926.215680,10235,19977442,3732645.401610,0
1761967800000,0.186720,0.187100,0.186650,0.186940,16896150,1761968699999,3157429.438970,6566,9739845,1820028.466300,0
1761968700000,0.186940,0.187000,0.186710,0.186890,12315787,1761969599999,2301692.893010,5919,6269569,1171692.437250,0
1761969600000,0.186890,0.187130,0.186320,0.186520,27011491,1761970499999,5043791.467140,9481,11124195,2078215.377000,0
1761970500000,0.186510,0.186830,0.186170,0.186730,14848377,1761971399999,2768429.043500,6428,6543928,1220198.375880,0
1761971400000,0.186730,0.186880,0.186420,0.186720,12628852,1761972299999,2357843.962130,7354,5651770,1055238.300620,0
1761972300000,0.186710,0.186870,0.186590,0.186830,8474131,1761973199999,1582679.491140,4857,4404732,822691.151120,0
1761973200000,0.186830,0.186950,0.186330,0.186530,14745208,1761974099999,2750612.255350,7459,7270120,1356123.294920,0
1761974100000,0.186520,0.186720,0.186380,0.186660,10895505,1761974999999,2033015.120050,4696,5050995,942469.903520,0
1761975000000,0.186660,0.186690,0.186330,0.186480,12586259,1761975899999,2348047.161090,4517,7818874,1458693.358840,0
1761975900000,0.186480,0.186500,0.185880,0.185970,15371563,1761976799999,2861232.806540,6028,5289330,984733.402970,0
1761976800000,0.185970,0.186250,0.185940,0.186070,18070475,1761977699999,3362806.368100,6903,11065830,2059241.337190,0
1761977700000,0.186070,0.186110,0.185810,0.185930,20445297,1761978599999,3801462.444250,6028,9272259,1723882.967960,0
1761978600000,0.185930,0.186130,0.185480,0.185600,20073200,1761979499999,3729495.540410,6998,8656955,1608590.265990,0
1761979500000,0.185590,0.186070,0.185460,0.186000,12958063,1761980399999,2406233.557900,5155,7999036,1485321.858330,0
1761980400000,0.185990,0.186370,0.185830,0.186250,16892252,1761981299999,3143815.943210,6564,9626154,1791633.008250,0
1761981300000,0.186250,0.187150,0.186240,0.186910,29804481,1761982199999,5563006.636690,9081,18881054,3523987.415750,0
1761982200000,0.186910,0.187060,0.186440,0.186530,25862793,1761983099999,4830630.863160,9031,9843906,1839012.237750,0
1761983100000,0.186520,0.187130,0.186340,0.187000,19427448,1761983999999,3629851.047040,7351,10257948,1916536.563110,0
1761984000000,0.186990,0.187160,0.186610,0.186750,28560388,1761984899999,5338429.263160,9217,14586088,2726566.851720,0
1761984900000,0.186750,0.187030,0.186600,0.186810,17686206,1761985799999,3303941.760120,6951,10722628,2003001.552900,0
1761985800000,0.186800,0.187080,0.186760,0.186840,15325555,1761986699999,2864686.653150,6233,7487418,1399677.572950,0
1761986700000,0.186830,0.187780,0.186830,0.187710,36039306,1761987599999,6750253.745860,8791,22908562,4291034.778870,0
1761987600000,0.187710,0.187940,0.187410,0.187680,25211057,1761988499999,4730815.586550,11684,13446844,2523345.694790,0
1761988500000,0.187680,0.187680,0.187240,0.187340,13919581,1761989399999,2609430.047530,5804,6287305,1178569.117920,0
1761989400000,0.187330,0.187340,0.186660,0.186680,23152053,1761990299999,4328497.545570,8072,10106963,1889376.478390,0
1761990300000,0.186680,0.187200,0.186670,0.186890,20941838,1761991199999,3915631.905800,6859,11336541,2119648.194830,0
1761991200000,0.186880,0.187260,0.186690,0.186880,21946624,1761992099999,4101774.368520,7144,10697031,1999506.719220,0
1761992100000,0.186870,0.187260,0.186870,0.186990,13133846,1761992999999,2457122.740640,5678,5501424,1029313.620440,0
1761993000000,0.186980,0.187330,0.186920,0.187280,9990437,1761993899999,1869666.972070,6145,4941546,924807.787610,0
1761993900000,0.187280,0.187410,0.187010,0.187090,14348925,1761994799999,2686826.464450,5898,6673413,1249858.871350,0
1761994800000,0.187080,0.187470,0.187080,0.187200,15948787,1761995699999,2986624.782950,6712,9706991,1817644.335050,0
1761995700000,0.187200,0.187350,0.186990,0.187000,9895877,1761996599999,1851828.706700,4804,3965866,742208.730000,0
1761996600000,0.186990,0.186990,0.186700,0.186900,14270763,1761997499999,2666174.507670,5956,6933362,1295433.693460,0
1761997500000,0.186910,0.187040,0.186660,0.186970,9031461,1761998399999,1687622.991560,5102,5054977,944624.206020,0
1761998400000,0.186960,0.187360,0.186960,0.187080,12370013,1761999299999,2314866.946510,8087,6580177,1231359.286970,0
1761999300000,0.187080,0.187210,0.186740,0.186940,12437390,1762000199999,2325252.472340,5399,5248250,981133.222110,0
1762000200000,0.186940,0.187280,0.186940,0.187220,12178668,1762001099999,2278940.261670,5590,6844911,1280857.482640,0
1762001100000,0.187230,0.187240,0.186900,0.186920,9193602,1762001999999,1719487.776850,5195,4406196,824090.236440,0
1762002000000,0.186930,0.187310,0.186880,0.187190,14673981,1762002899999,2745452.239370,7500,8438189,1578795.983200,0
1762002900000,0.187200,0.187380,0.187010,0.187110,11892550,1762003799999,2225781.500410,5543,4149190,776608.622350,0
1762003800000,0.187110,0.187270,0.185850,0.186240,43145572,1762004699999,8042868.023120,13602,17976409,3351257.403520,0
1762004700000,0.186240,0.186650,0.185890,0.186510,31864469,1762005599999,5937533.665490,10309,18445857,3436706.531190,0
1762005600000,0.186510,0.186800,0.185500,0.185660,38902960,1762006499999,7238946.488840,13649,14471627,2692853.249320,0
1762006500000,0.185670,0.185920,0.185310,0.185810,48521027,1762007399999,9009699.364490,14307,25103531,4661601.198830,0
1762007400000,0.185810,0.186390,0.185500,0.186190,21557154,1762008299999,4008501.261420,9798,12056239,2242251.424790,0
1762008300000,0.186190,0.186360,0.185560,0.185960,19256822,1762009199999,3581184.877500,8506,9902634,1841482.211890,0
1762009200000,0.185970,0.187630,0.185800,0.187100,71126760,1762010099999,13299853.529770,21404,32199210,6019696.500110,0
1762010100000,0.187100,0.187350,0.186210,0.186780,39358401,1762010999999,7353625.086520,12829,22595232,4221513.556690,0
1762011000000,0.186770,0.187170,0.186460,0.186710,23203301,1762011899999,4334563.065600,9183,10809760,2019342.505380,0
1762011900000,0.186710,0.187270,0.186500,0.187250,17989875,1762012799999,3361563.764230,7938,9081190,1696742.707480,0
1762012800000,0.187240,0.187820,0.186910,0.186920,43711080,1762013699999,8190520.343940,15682,20000183,3747069.590280,0
1762013700000,0.186920,0.187370,0.186820,0.186950,23053003,1762014599999,4311408.177310,9488,13481179,2521215.401090,0
1762014600000,0.186950,0.187550,0.186950,0.187480,20754353,1762015499999,3888339.621620,8484,10387355,1945999.955710,0
1762015500000,0.187480,0.187720,0.187270,0.187300,21788108,1762016399999,4084485.142510,8263,10896669,2042784.883620,0
1762016400000,0.187300,0.187420,0.186740,0.186960,29878135,1762017299999,5586408.679680,11682,13858232,2590972.137350,0
1762017300000,0.186950,0.187010,0.186620,0.186790,19817231,1762018199999,3701459.555340,7890,11472063,2142803.293050,0
1762018200000,0.186790,0.186980,0.186710,0.186710,15068194,1762019099999,2815474.073930,6650,7636345,1426835.768660,0
1762019100000,0.186710,0.186990,0.186530,0.186680,18166022,1762019999999,3391922.711110,6642,8675950,1619969.665400,0
1762020000000,0.186680,0.187080,0.186530,0.186780,16666368,1762020899999,3114189.343960,7031,8947076,1671812.878510,0
1762020900000,0.186780,0.187010,0.186570,0.186790,11906329,1762021799999,2224261.688610,5179,5557193,1038083.396940,0
1762021800000,0.186800,0.187080,0.186710,0.187040,11719865,1762022699999,2190721.481990,3906,6225634,1163650.413990,0
1762022700000,0.187040,0.187240,0.186890,0.187060,18189618,1762023599999,3402290.430820,4511,11109969,2078004.573710,0
1762023600000,0.187050,0.187060,0.186740,0.186980,11594014,1762024499999,2166873.303140,5454,5110272,954913.888560,0
1762024500000,0.186980,0.187120,0.186780,0.186910,9226391,1762025399999,1724905.498560,4508,3212877,600650.578070,0
1762025400000,0.186900,0.187020,0.186800,0.187010,5102397,1762026299999,953746.874600,3659,2516350,470351.342280,0
1762026300000,0.187000,0.187360,0.186960,0.187310,7810178,1762027199999,1462100.344600,4669,4515830,845332.255940,0
1762027200000,0.187320,0.187460,0.187200,0.187250,12459358,1762028099999,2334101.823820,6728,5419992,1015377.697370,0
1762028100000,0.187240,0.187880,0.187180,0.187880,16404254,1762028999999,3078697.842460,6674,9402986,1764677.536560,0
1762029000000,0.187880,0.188310,0.187880,0.188010,29787342,1762029899999,5603381.145190,10383,18640674,3506674.280800,0
1762029900000,0.188000,0.188130,0.187610,0.187680,15097524,1762030799999,2835496.122700,6857,6046083,1135722.130830,0
1762030800000,0.187690,0.187900,0.187010,0.187020,25511299,1762031699999,4783780.732280,8819,12202315,2288758.124160,0
1762031700000,0.187020,0.187400,0.187020,0.187350,11585337,1762032599999,2169667.610310,6132,7171160,1343015.371530,0
1762032600000,0.187340,0.187540,0.186830,0.186890,13912654,1762033499999,2603637.621460,6158,4663243,872899.796570,0
1762033500000,0.186890,0.186980,0.186040,0.186150,18965083,1762034399999,3536515.240470,8336,8336808,1554096.699520,0
1762034400000,0.186140,0.186620,0.186140,0.186240,27852741,1762035299999,5191717.521910,11444,15751720,2935908.763760,0
1762035300000,0.186230,0.186650,0.186200,0.186530,10263161,1762036199999,1912962.325580,5128,5665799,1056155.097440,0
1762036200000,0.186530,0.186680,0.186420,0.186650,8246267,1762037099999,1538261.145560,3560,4380231,817058.967200,0
1762037100000,0.186650,0.186900,0.186510,0.186880,8595541,1762037999999,1604955.766680,4368,5323211,994015.299260,0
