open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1746057600000,0.172170,0.172780,0.171990,0.172560,28845044,1746058499999,4973261.959820,11794,11467950,1976741.891540,0
1746058500000,0.172570,0.172980,0.172210,0.172590,19721266,1746059399999,3404418.199760,8658,9030824,1559115.708400,0
1746059400000,0.172590,0.172910,0.172360,0.172760,18553438,1746060299999,3202464.363100,7707,9126193,1575276.751590,0
1746060300000,0.172760,0.173510,0.172740,0.172950,25137726,1746061199999,4353813.011220,14666,12793603,2216033.694800,0
1746061200000,0.172950,0.173920,0.172950,0.173640,33870357,1746062099999,5878667.370480,12195,17539353,3044254.131250,0
1746062100000,0.173650,0.174400,0.173530,0.173740,36702625,1746062999999,6386451.859130,12449,20238403,3522258.687310,0
1746063000000,0.173740,0.174310,0.173510,0.174120,30263138,1746063899999,5264081.666780,13034,17207741,2993805.445690,0
1746063900000,0.174110,0.174370,0.173810,0.174300,17165875,1746064799999,2988426.386580,9178,9306847,1620134.371540,0
1746064800000,0.174300,0.174890,0.173970,0.174560,36146291,1746065699999,6308769.452110,20448,17018484,2970595.840950,0
1746065700000,0.174570,0.175290,0.174570,0.175290,45784313,1746066599999,8011547.775980,13900,31217634,5462488.539460,0
1746066600000,0.175290,0.175290,0.174640,0.175150,41375706,1746067499999,7240561.478550,13022,23551381,4120823.895690,0
1746067500000,0.175150,0.175360,0.174200,0.174260,41889536,1746068399999,7314990.109110,12975,17696660,3091038.064880,0
1746068400000,0.174270,0.175070,0.174200,0.174580,27904919,1746069299999,4875543.337880,10815,15409945,2692631.095680,0
1746069300000,0.174580,0.174720,0.174150,0.174490,21726535,1746070199999,3790300.089180,9355,8600249,1500374.687860,0
1746070200000,0.174490,0.174870,0.174010,0.174270,53702838,1746071099999,9363021.297410,13734,21847012,3809211.452220,0
1746071100000,0.174260,0.174290,0.173760,0.173990,28301862,1746071999999,4923323.162630,10529,14174014,2465832.856650,0
1746072000000,0.174000,0.174390,0.173720,0.174190,24776302,1746072899999,4312868.511230,10336,14048796,2445775.514920,0
1746072900000,0.174180,0.174240,0.173650,0.173770,14786032,1746073799999,2571016.179920,7494,6550624,1138943.665910,0
1746073800000,0.173770,0.174000,0.173570,0.173960,15742298,1746074699999,2734824.987440,7946,8226270,1429015.688030,0
1746074700000,0.173960,0.174330,0.173760,0.174250,19335955,1746075599999,3366800.511300,7400,11204338,1951169.513790,0
1746075600000,0.174260,0.174830,0.174170,0.174810,23587347,1746076499999,4116181.491970,9858,13343372,2328592.103040,0
1746076500000,0.174800,0.174990,0.174550,0.174700,16798551,1746077399999,2936146.117370,7590,5651892,987804.811680,0
1746077400000,0.174700,0.175340,0.174550,0.175210,29996337,1746078299999,5250251.927980,11188,16798365,2940725.659340,0
1746078300000,0.175200,0.175450,0.174900,0.175190,25275529,1746079199999,4426891.214590,9862,12308543,2156033.930980,0
1746079200000,0.175200,0.175390,0.174710,0.174950,20482446,1746080099999,3584117.998510,9312,10128574,1772559.501530,0
1746080100000,0.174960,0.175330,0.174790,0.175090,20056826,1746080999999,3511816.337110,8676,7514817,1315784.972860,0
1746081000000,0.175090,0.175310,0.174480,0.174590,20744560,1746081899999,3625370.316410,8634,9171488,1602763.219010,0
1746081900000,0.174590,0.174880,0.174260,0.174760,16201290,1746082799999,2829020.869850,7532,7898372,1379492.932060,0
1746082800000,0.174760,0.175130,0.174470,0.175110,17811867,1746083699999,3113909.253470,8141,9448421,1652204.206640,0
1746083700000,0.175110,0.175180,0.174840,0.175000,12270997,1746084599999,2148088.816290,7038,6516464,1140794.753220,0
