open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1775001600000,8.9070,8.9290,8.8950,8.9060,102700,1775002499999,914920.8350,4202,55702,496236.1840,0
1775002500000,8.9070,8.9250,8.8990,8.9220,75508,1775003399999,673061.6320,2805,43466,387464.0440,0
1775003400000,8.9220,8.9230,8.8930,8.9180,57078,1775004299999,508276.0320,2456,26472,235795.1540,0
1775004300000,8.9170,8.9730,8.9010,8.9650,190749,1775005199999,1706386.9870,5443,124385,1112788.6760,0
1775005200000,8.9660,8.9760,8.9480,8.9630,119667,1775006099999,1072607.6330,4441,50190,449836.6380,0
1775006100000,8.9640,8.9640,8.9100,8.9100,94555,1775006999999,844786.3480,3168,19061,170303.5280,0
1775007000000,8.9110,8.9290,8.8820,8.9160,102036,1775007899999,908943.3290,3872,56189,500640.6610,0
1775007900000,8.9170,8.9170,8.8950,8.8970,61726,1775008799999,549582.4230,2315,30244,269264.7270,0
1775008800000,8.8970,8.9120,8.8850,8.9020,74722,1775009699999,665116.7020,3475,38796,345356.7260,0
1775009700000,8.9010,8.9140,8.8620,8.8760,100574,1775010599999,893948.8500,3367,46795,416022.5520,0
1775010600000,8.8750,8.8900,8.8660,8.8830,40322,1775011499999,357989.8960,2503,24253,215322.2010,0
1775011500000,8.8820,8.8900,8.8720,8.8780,42745,1775012399999,379635.0490,1901,19887,176624.6860,0
1775012400000,8.8780,8.9770,8.8780,8.9530,163373,1775013299999,1459087.6750,5078,114187,1019235.5780,0
1775013300000,8.9520,8.9560,8.9290,8.9350,44948,1775014199999,401848.0360,2105,12048,107723.2690,0
1775014200000,8.9350,8.9520,8.9190,8.9480,64659,1775015099999,577567.7440,2701,21606,192984.7600,0
1775015100000,8.9480,8.9750,8.9450,8.9520,75075,1775015999999,672595.4900,3310,34422,308422.1560,0
1775016000000,8.9530,8.9760,8.9500,8.9510,129424,1775016899999,1160104.3430,3825,53887,483076.4300,0
1775016900000,8.9510,8.9700,8.9420,8.9650,89689,1775017799999,803212.2550,2888,26535,237720.7550,0
1775017800000,8.9640,8.9830,8.9510,8.9660,59008,1775018699999,529197.0460,2795,28912,259322.8690,0
1775018700000,8.9670,8.9860,8.9550,8.9710,72218,1775019599999,647766.5800,2544,31261,280418.0480,0
1775019600000,8.9710,8.9830,8.9450,8.9780,79691,1775020499999,713866.5860,2960,30919,277044.0980,0
1775020500000,8.9770,9.1140,8.9680,9.0750,724561,1775021399999,6564839.2310,14710,469268,4250386.4460,0
1775021400000,9.0750,9.1000,9.0710,9.0860,204507,1775022299999,1858030.8800,6224,106492,967687.9230,0
