open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1772323200000,1.3752,1.3818,1.3725,1.3759,9921592.2,1772324099999,13657605.05860,19863,5273242.6,7261013.22514,0
1772324100000,1.3758,1.3780,1.3713,1.3714,4982095.9,1772324999999,6848733.77801,13371,1973865.8,2713364.71835,0
1772325000000,1.3713,1.3764,1.3713,1.3752,5356273.5,1772325899999,7359206.11967,14387,2533914.2,3481763.53990,0
1772325900000,1.3752,1.3800,1.3750,1.3781,3791165.6,1772326799999,5221972.18905,13102,2069024.4,2850079.62689,0
1772326800000,1.3780,1.3781,1.3662,1.3681,10279974.8,1772327699999,14087969.27696,25246,4397052.0,6026371.86555,0
1772327700000,1.3680,1.3743,1.3648,1.3729,8581346.3,1772328599999,11746894.18436,21260,4537927.0,6214216.63312,0
1772328600000,1.3729,1.3892,1.3713,1.3854,16747418.5,1772329499999,23162010.46413,29928,9300403.0,12857298.65180,0
1772329500000,1.3854,1.4136,1.3852,1.4022,40957562.8,1772330399999,57393858.10892,75734,23571297.5,33039237.77659,0
1772330400000,1.4022,1.4281,1.4021,1.4205,38778632.1,1772331299999,55008947.66984,91005,20951796.9,29714726.43568,0
1772331300000,1.4205,1.4327,1.4144,1.4280,23983246.1,1772332199999,34108794.37107,53546,13089816.3,18636915.51627,0
1772332200000,1.4279,1.4304,1.4196,1.4279,13671078.0,1772333099999,19502758.37876,42324,7015236.5,10010367.27841,0
1772333100000,1.4279,1.4280,1.4180,1.4242,11972274.7,1772333999999,17041197.18381,33117,4174224.0,5943297.35438,0
1772334000000,1.4241,1.4326,1.4213,1.4270,12940037.0,1772334899999,18460992.32406,33361,6956328.2,9925872.95437,0
1772334900000,1.4270,1.4324,1.4204,1.4268,10354470.1,1772335799999,14766063.07686,31227,4254474.3,6067006.57954,0
1772335800000,1.4267,1.4267,1.4190,1.4240,6426483.3,1772336699999,9144658.25248,21275,2687774.0,3825054.27875,0
1772336700000,1.4240,1.4243,1.4126,1.4181,10967689.0,1772337599999,15552079.40630,27609,5159416.7,7316882.21448,0
1772337600000,1.4182,1.4211,1.4129,1.4136,8324111.6,1772338499999,11793541.91398,23932,3548873.6,5029271.46582,0
1772338500000,1.4136,1.4158,1.4032,1.4093,20502791.4,1772339399999,28864553.08211,33719,7875214.5,11088293.94733,0
1772339400000,1.4092,1.4142,1.4074,1.4123,6409053.8,1772340299999,9039861.24667,20357,3322922.2,4687441.31829,0
1772340300000,1.4123,1.4133,1.4106,1.4130,2391743.9,1772341199999,3376877.29964,10216,1289257.8,1820214.08686,0
1772341200000,1.4130,1.4188,1.4110,1.4122,6450347.9,1772342099999,9130092.79973,19199,3924098.9,5555638.29996,0
1772342100000,1.4123,1.4162,1.4108,1.4144,3156663.8,1772342999999,4463343.52839,13275,1760729.2,2489713.91204,0
1772343000000,1.4143,1.4147,1.4086,1.4093,4432550.6,1772343899999,6258065.09792,15239,1653192.3,2334143.97032,0
1772343900000,1.4093,1.4131,1.4081,1.4088,4851494.9,1772344799999,6842540.48600,15394,2017220.2,2845501.02314,0
1772344800000,1.4089,1.4097,1.3945,1.3987,19024743.0,1772345699999,26654661.29936,38548,7985371.6,11186866.21984,0
1772345700000,1.3986,1.4007,1.3961,1.3977,6682961.9,1772346599999,9344389.67084,18961,3193441.9,4465051.44829,0
1772346600000,1.3978,1.3991,1.3888,1.3921,9949075.9,1772347499999,13850242.23834,24008,3931444.3,5473864.45022,0
1772347500000,1.3921,1.3965,1.3881,1.3940,6042032.3,1772348399999,8409464.76424,16698,2541781.9,3539276.95754,0
1772348400000,1.3940,1.4016,1.3924,1.3978,6132682.5,1772349299999,8566978.50004,17529,3552008.6,4963159.69809,0
