open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1767225600000,864.710,865.780,864.230,865.570,4049.56,1767226499999,3502503.89350,6603,2496.11,2158885.57170,0
1767226500000,865.580,866.790,865.570,866.780,2004.09,1767227399999,1736203.46680,3522,1259.97,1091527.75380,0
1767227400000,866.790,866.820,866.240,866.410,1462.96,1767228299999,1267738.31150,3655,533.49,462285.54470,0
1767228300000,866.420,867.000,866.010,866.750,1427.63,1767229199999,1237128.92460,3739,759.39,658078.55670,0
1767229200000,866.760,871.800,866.600,869.940,14982.02,1767230099999,13027662.36970,15473,10185.25,8854582.29750,0
1767230100000,869.950,870.940,869.380,869.610,4825.03,1767230999999,4197992.16630,8202,2201.83,1915703.95470,0
1767231000000,869.620,871.410,869.020,870.950,4176.95,1767231899999,3635576.29950,6211,2288.18,1991678.21430,0
1767231900000,870.950,874.360,870.540,873.490,12081.44,1767232799999,10540554.15040,12620,8544.90,7454935.58550,0
1767232800000,873.490,875.000,872.650,873.000,7811.62,1767233699999,6827365.10770,12114,3781.54,3305725.24580,0
1767233700000,873.000,873.290,871.600,872.430,5023.13,1767234599999,4382503.44870,8425,2262.17,1973681.58500,0
1767234600000,872.430,873.380,871.260,871.560,3374.69,1767235499999,2943948.09040,7750,1725.35,1505345.39060,0
1767235500000,871.560,872.820,871.200,872.110,4434.08,1767236399999,3867063.27600,6897,2106.61,1837148.88260,0
1767236400000,872.100,873.950,872.100,873.210,5547.40,1767237299999,4844536.45360,8200,3746.83,3272105.84570,0
1767237300000,873.210,873.540,870.720,870.750,6843.30,1767238199999,5966477.24410,9061,1768.87,1542434.32230,0
1767238200000,870.750,870.900,869.180,869.910,5437.46,1767239099999,4729497.75230,8612,1890.17,1644022.16280,0
1767239100000,869.910,870.030,869.290,869.670,1469.10,1767239999999,1277619.28230,4008,666.63,579735.36740,0
1767240000000,869.670,869.750,868.120,868.290,2921.53,1767240899999,2538272.96790,5773,1068.03,927912.41440,0
1767240900000,868.290,868.400,867.110,867.240,3397.34,1767241799999,2947770.94520,6403,1701.16,1475955.47750,0
1767241800000,867.230,867.740,865.500,865.510,5562.08,1767242699999,4818663.08200,7672,2450.12,2122543.55070,0
1767242700000,865.510,865.540,862.320,863.970,11025.89,1767243599999,9523774.85520,13992,3984.08,3441553.65460,0
1767243600000,863.960,865.620,863.800,865.150,4866.00,1767244499999,4208441.56110,8064,3074.95,2659434.22600,0
1767244500000,865.140,865.680,864.720,865.510,1609.91,1767245399999,1393005.91630,4380,829.03,717330.77130,0
1767245400000,865.510,865.620,863.960,864.280,2890.45,1767246299999,2500086.61470,5684,1161.17,1004174.64680,0
1767246300000,864.280,864.600,863.000,863.440,2706.07,1767247199999,2337516.15160,5840,1277.37,1103440.38340,0
1767247200000,863.440,864.730,862.860,864.610,4524.52,1767248099999,3908270.63890,6724,3140.07,2712464.94500,0
1767248100000,864.610,865.200,864.200,864.370,5854.89,1767248999999,5063364.96430,6050,2206.47,1908050.75080,0
1767249000000,864.370,864.370,863.780,863.960,1175.16,1767249899999,1015348.06550,3018,636.01,549516.11490,0
1767249900000,863.960,864.110,862.120,862.290,3138.71,1767250799999,2708322.51190,5695,1293.13,1115629.92400,0
1767250800000,862.280,862.290,861.000,861.290,7648.85,1767251699999,6589643.07900,10528,2396.40,2064539.16840,0
1767251700000,861.290,861.760,859.710,859.890,6717.35,1767252599999,5780843.74460,7817,1721.60,1482057.43050,0
1767252600000,859.890,860.840,859.650,860.340,3365.83,1767253499999,2896157.17560,6096,1897.63,1632803.51180,0
1767253500000,860.340,860.550,859.700,859.910,2740.53,1767254399999,2357233.35910,5076,1069.01,919490.94590,0
1767254400000,859.910,860.890,859.180,860.410,5721.98,1767255299999,4922135.75050,8531,2592.60,2230147.12850,0
1767255300000,860.400,861.030,860.400,861.020,2733.93,1767256199999,2352912.66720,5317,1943.55,1672721.69450,0
1767256200000,861.020,862.210,860.580,860.820,3295.19,1767257099999,2838049.65800,5874,1736.98,1496080.90800,0
1767257100000,860.820,861.970,860.820,861.800,2275.60,1767257999999,1960084.14350,4596,1522.25,1311182.55510,0
1767258000000,861.800,862.130,861.160,861.500,2612.07,1767258899999,2250320.96380,5586,1560.80,1344625.97510,0
1767258900000,861.510,862.180,861.120,861.120,2629.28,1767259799999,2265525.48200,4852,1305.66,1125032.88850,0
1767259800000,861.120,861.920,861.090,861.810,1505.17,1767260699999,1296557.02610,3836,936.81,806967.15350,0
1767260700000,861.800,861.810,860.290,860.570,3323.67,1767261599999,2862097.28210,4580,1111.18,956760.82780,0
1767261600000,860.580,861.510,860.580,861.410,1305.47,1767262499999,1124158.59590,3761,770.55,663542.71210,0
1767262500000,861.410,861.790,860.950,861.530,1941.52,1767263399999,1672310.99940,4330,1058.54,911748.73980,0
1767263400000,861.520,861.810,861.310,861.710,1271.11,1767264299999,1095180.03770,3530,762.67,657108.23180,0
1767264300000,861.700,862.290,861.500,861.500,1700.89,1767265199999,1465989.45530,3768,1032.29,889739.27260,0
1767265200000,861.500,861.640,861.160,861.210,1691.33,1767266099999,1456868.76250,4493,713.58,614656.15640,0
1767266100000,861.210,861.810,861.040,861.310,2667.05,1767266999999,2297363.35020,4747,1316.18,1133834.18170,0
1767267000000,861.300,861.970,860.980,861.290,3112.81,1767267899999,2680983.48100,4586,2126.60,1831644.21250,0
1767267900000,861.280,862.490,861.240,861.890,3439.12,1767268799999,2964090.95780,5101,1801.64,1552901.56080,0
1767268800000,861.890,861.890,859.590,859.810,4460.43,1767269699999,3838721.76680,7429,1034.12,890148.51370,0
1767269700000,859.800,859.820,856.240,857.250,14678.26,1767270599999,12590989.88990,17521,4724.58,4052080.97530,0
1767270600000,857.240,858.800,857.000,858.790,7336.42,1767271499999,6292967.68320,9104,3520.02,3019380.81820,0
1767271500000,858.790,859.680,858.780,859.370,2640.89,1767272399999,2269090.82420,5427,1806.13,1551905.75920,0
1767272400000,859.370,860.620,858.940,860.620,3323.60,1767273299999,2858055.07000,6494,1886.52,1622570.18170,0
1767273300000,860.620,861.240,859.510,860.450,4170.59,1767274199999,3589386.26110,7714,2122.16,1826471.34180,0
1767274200000,860.460,860.460,859.700,859.700,1377.97,1767275099999,1185168.71390,3140,620.67,533812.39580,0
1767275100000,859.700,859.700,858.720,859.010,2783.61,1767275999999,2391622.14940,5452,1361.11,1169530.50420,0
1767276000000,859.010,859.980,858.630,859.670,2354.51,1767276899999,2023173.34530,6190,923.21,793310.22230,0
1767276900000,859.670,859.680,858.110,858.220,2012.39,1767277799999,1728045.78600,5147,617.93,530635.95830,0
1767277800000,858.210,858.730,857.330,858.290,3393.99,1767278699999,2912017.39250,7313,1369.49,1175158.28280,0
1767278700000,858.290,858.960,857.890,858.230,2629.66,1767279599999,2257283.88830,5854,1466.99,1259324.27610,0
1767279600000,858.220,858.650,856.780,857.660,3299.28,1767280499999,2829406.82480,8898,1322.93,1134514.13070,0
1767280500000,857.650,858.300,856.600,857.940,5601.91,1767281399999,4803398.01690,10755,2950.40,2529893.60760,0
1767281400000,857.940,860.900,857.860,859.270,5014.39,1767282299999,4309435.75850,9220,2699.10,2319389.43960,0
1767282300000,859.270,860.860,858.730,859.710,4293.79,1767283199999,3690974.38010,7691,2334.07,2006428.89490,0
1767283200000,859.710,860.270,858.650,858.840,3672.72,1767284099999,3156794.51390,7891,1864.19,1602257.67970,0
1767284100000,858.830,859.570,858.660,859.140,3530.80,1767284999999,3033475.03690,8014,1970.14,1692716.34040,0
1767285000000,859.130,859.140,858.230,858.420,3023.55,1767285899999,2596096.85950,6151,1241.93,1066350.00640,0
1767285900000,858.420,858.420,857.710,858.420,2142.54,1767286799999,1838339.08880,4239,1096.77,941050.70880,0
1767286800000,858.410,859.400,857.410,859.360,2797.15,1767287699999,2401212.61130,5833,1471.16,1262877.01300,0
1767287700000,859.350,860.670,859.020,859.990,3463.08,1767288599999,2977750.28740,6474,2199.35,1891072.93610,0
1767288600000,859.990,861.300,859.720,860.250,6750.28,1767289499999,5808879.06480,9971,2338.14,2012210.18680,0
1767289500000,860.240,861.490,859.950,860.320,2723.63,1767290399999,2344503.50620,4739,1331.43,1146129.54250,0
1767290400000,860.320,860.530,859.440,859.450,2441.53,1767291299999,2099772.09800,5941,826.93,711241.98700,0
1767291300000,859.450,860.350,859.150,859.560,1375.28,1767292199999,1182421.33300,3777,581.53,499953.05120,0
1767292200000,859.550,860.050,859.420,859.910,1279.62,1767293099999,1100033.90380,3354,554.97,477082.02000,0
1767293100000,859.910,860.390,859.900,860.360,916.98,1767293999999,788862.31240,2389,502.55,432320.08970,0
1767294000000,860.360,861.110,860.210,860.270,1555.98,1767294899999,1339019.83200,4248,769.85,662520.28420,0
1767294900000,860.270,860.370,859.350,859.710,2912.23,1767295799999,2503745.97280,6406,1003.21,862535.96300,0
1767295800000,859.710,861.310,859.560,861.170,2036.91,1767296699999,1752885.20130,4098,1294.90,1114345.19710,0
1767296700000,861.170,861.810,860.950,861.810,2597.42,1767297599999,2237428.17240,4313,1602.39,1380354.05110,0
1767297600000,861.810,862.450,861.000,861.360,3781.86,1767298499999,3258833.43490,6498,1602.96,1381357.73270,0
1767298500000,861.350,861.690,860.560,861.160,1610.13,1767299399999,1386572.92090,4107,642.04,552968.63750,0
1767299400000,861.160,861.160,860.390,860.910,1419.94,1767300299999,1222221.20930,3605,639.96,550847.31230,0
1767300300000,860.920,861.580,860.800,861.310,1172.44,1767301199999,1009742.93600,2809,675.76,581983.27940,0
1767301200000,861.310,862.630,861.120,862.550,2159.15,1767302099999,1860977.77430,4389,1640.46,1413955.21790,0
1767302100000,862.550,863.060,862.440,862.800,1747.78,1767302999999,1507923.74410,3817,910.18,785276.16000,0
1767303000000,862.800,862.800,862.000,862.080,1212.13,1767303899999,1045228.73410,4040,632.78,545649.36300,0
1767303900000,862.090,862.750,861.920,862.620,782.35,1767304799999,674715.25850,2536,460.90,397504.58490,0
